,country,citation_count,article_count
0,DE,1766,1478
1,FR,1209,1037
2,US,923,470
3,CH,661,361
4,NL,638,320
5,GB,599,395
6,SE,432,290
7,IT,381,356
8,CA,360,267
9,NO,318,255
10,ES,279,224
11,FI,269,229
12,AU,247,107
13,AT,235,218
14,DK,222,247
15,GR,202,308
16,IR,191,82
17,JP,131,152
18,BE,128,83
19,PT,119,120
20,TW,91,59
21,IE,85,40
22,TR,83,56
23,IL,77,45
24,AR,75,82
25,RO,57,124
26,CN,57,46
27,BR,47,38
28,YU,38,3
29,RU,37,61
30,HR,37,28
31,IN,36,55
32,SI,34,70
33,CO,32,19
34,BA,30,13
35,KR,29,92
36,MY,28,23
37,CZ,28,35
38,NZ,23,13
39,CL,21,10
40,SG,20,12
41,PE,18,2
42,SA,17,11
43,PL,15,27
44,HU,15,41
45,PY,15,5
46,ET,10,4
47,EE,10,11
48,IS,8,7
49,UA,6,13
50,MK,6,3
51,BG,6,11
52,ID,5,6
53,LT,5,9
54,RS,5,12
55,TH,5,37
56,LU,4,5
57,UG,4,2
58,AE,4,8
59,TZ,3,2
60,KE,3,4
61,ZA,3,4
62,LB,3,6
63,MT,3,1
64,GE,2,1
65,TT,2,1
66,PH,2,2
67,DO,2,2
68,LV,2,4
69,SK,2,6
70,BD,1,3
71,BN,1,1
72,SN,1,4
73,SL,1,1
74,MX,1,3
75,JO,1,1
76,QA,1,6
77,KW,1,3
78,RW,0,13
79,CM,0,4
80,ML,0,2
81,VN,0,2
82,BF,0,28
83,ME,0,6
84,CD,0,2
85,CI,0,1
86,CY,0,18
87,MA,0,3
88,HK,0,3
89,PK,0,1
90,SR,0,1
91,KH,0,1
92,DZ,0,4
93,AM,0,1
94,EG,0,1
